,category,expiration_date,name,price,product_id,production_date,quantity,rating,status,normalized_price
501,Напитки,2021-04-01,Судакская,7536,502,2006-06-07,661,4.09,New,0.0017217421581453072
502,Овощи,2006-05-01,Патиссон,8444,503,1997-05-04,18,0.03,Refunded,0.001929191982932454
503,Товары для дома,2030-01-03,Чашки,2279,504,2016-06-07,588,5.0,Shipping,0.0005206807826981363
504,Мясо,2020-04-10,Бастурма,4413,505,2006-07-05,762,3.02,New,0.0010082335647419375
505,Товары для дома,2029-05-04,Тостер,2340,506,2021-11-14,812,1.85,Cancelled,0.00053461738986996
506,Бакалея,1998-01-23,Подсолнечник семена,8933,507,1991-03-02,52,4.41,Temporarily Unavailable,0.002040913309277074
507,Напитки,2019-10-10,Марьинская,4174,508,2017-07-23,407,0.3,Available for Pickup,0.0009536294809047919
508,Молочные продукты,2013-03-06,Топлёное молоко,3591,509,1996-04-13,539,4.91,Available for Pickup,0.0008204320713773618
509,Товары для дома,2023-01-04,Пакеты для Всемирного дня воды,7615,510,2007-01-04,502,3.17,Returned,0.001739791206777669
510,Бакалея,2019-05-03,Шафран молотый,1257,511,1998-08-07,776,3.87,Cancelled,0.0002871854953275811
511,Фрукты,2029-05-17,Рамбутан,720,512,2022-04-01,133,1.42,Backorder,0.00016449765842152617
512,Мясо,2024-03-10,Козлятина,4260,513,2017-02-05,859,4.78,On Backorder,0.0009732778123273632
513,Овощи,2030-11-04,Пастернак,5128,514,2009-02-10,201,3.9,Shipping,0.001171588878313314
514,Молочные продукты,2003-05-03,Шубат,7927,515,1990-11-01,271,2.91,Available for Pickup,0.0018110735254269971
515,Мясо,2028-03-23,Тушенка,162,516,2002-04-07,379,1.7,Refunded,3.701197314484339e-05
516,Товары для дома,2019-02-25,Стаканы,7274,517,2003-07-07,297,4.48,Available for Pickup,0.001661883287997474
517,Молочные продукты,2026-01-09,Топлёное молоко,3113,518,2015-04-01,289,1.71,In Stock,0.0007112239037030708
518,Бакалея,2019-10-01,Каша из дробленой пшеницы,7925,519,2011-05-04,704,4.37,Pending,0.0018106165874869373
519,Бакалея,2029-09-18,Кукуруза консервированная,2417,520,2013-04-08,378,4.58,Out of Stock,0.0005522095005622621
520,Товары для дома,2021-02-11,Фольга алюминиевая,9332,521,1996-01-15,889,4.91,Temporarily Unavailable,0.002132072428319003
521,Товары для дома,2018-01-15,Пакеты для дня рождения,5789,522,1991-02-02,227,2.34,Pending,0.0013226068675030764
522,Молочные продукты,2024-02-08,Чеддер,9369,523,2015-03-22,65,2.68,Temporarily Unavailable,0.002140525780210109
523,Напитки,2030-04-09,Байкал,9978,524,2006-02-01,3,3.05,Cancelled,0.002279663382958317
524,Напитки,2027-01-17,Новошахтинская,9893,525,2004-03-02,789,2.78,Awaiting Review,0.0022602435205057755
525,Напитки,2027-04-14,Pepsi Max,9508,526,2021-05-08,122,1.95,New,0.0021722829670442648
526,Бакалея,2019-04-04,Каша из кускуса,1898,527,1991-02-02,688,0.78,Delivered,0.00043363410511674535
527,Мясо,2020-05-24,Сухое мясо,6786,528,2015-05-06,277,1.89,Cancelled,0.0015503904306228842
528,Молочные продукты,2023-01-23,Камамбер,4426,529,2019-02-07,531,0.62,Out of Stock,0.0010112036613523262
529,Товары для дома,2018-02-02,Открывалка для бутылок,428,530,2006-05-01,431,4.61,Backorder,9.778471917279611e-05
530,Фрукты,2008-05-12,Черника,2020,531,2001-06-01,864,1.35,Available for Pickup,0.00046150731946039287
531,Бакалея,2016-03-02,Лавровый лист,2697,532,2008-06-01,350,1.6,Pending,0.0006161808121706334
532,Овощи,2016-07-03,Помидор,8270,533,2016-04-14,474,3.84,Backorder,0.001889438382147252
533,Бакалея,2023-01-03,Мускатный орех молотый,5311,534,1990-04-18,500,0.48,Refunded,0.0012133986998287853
534,Мясо,2020-01-19,Пепперони,6757,535,2003-07-28,945,2.64,Returned,0.0015437648304920172
535,Мясо,2009-03-01,Легкое,9583,536,1995-01-08,438,4.78,Awaiting Review,0.002189418139796507
536,Фрукты,2028-01-02,Нектарин,9683,537,2022-04-09,916,3.3,Shipping,0.002212265036799497
537,Овощи,2026-08-01,Фенхель,1739,538,2010-01-06,900,3.28,Awaiting Review,0.00039730753888199167
538,Фрукты,2020-01-14,Яблоко,4185,539,2011-02-06,908,4.58,Refunded,0.0009561426395751208
539,Молочные продукты,2022-01-27,Топлёное молоко,4672,540,2007-01-04,624,4.75,On Backorder,0.0010674070279796809
540,Молочные продукты,2015-02-12,Масло сливочное,6140,541,2012-04-07,443,1.4,Returned,0.0014027994759835704
541,Товары для дома,2004-02-06,Пакеты для Дня матери,3576,542,2002-02-01,776,2.57,Refunded,0.0008170050368269133
542,Овощи,1995-02-22,Окра,1294,543,1991-02-12,580,1.12,Temporarily Unavailable,0.00029563884721868727
543,Бакалея,2017-05-05,Полба,1270,544,2003-03-02,877,2.79,Awaiting Review,0.0002901555919379698
544,Овощи,2015-01-03,Портулак,4258,545,1990-01-03,704,3.49,Awaiting Review,0.0009728208743873033
545,Напитки,2026-01-10,Fantastic,6992,546,2009-06-08,135,1.8,Awaiting Review,0.001597455038449043
546,Мясо,2020-09-02,Конина,3162,547,2016-01-07,176,3.31,Temporarily Unavailable,0.0007224188832345357
547,Товары для дома,2015-06-06,Пакеты для мастер-класса,1524,548,1997-09-04,795,4.99,Awaiting Review,0.0003481867103255637
548,Напитки,2022-01-03,Schweppes Tonic Water,3892,549,2021-12-20,321,1.28,Out of Stock,0.0008892012313563609
549,Мясо,2019-01-01,Куриные ножки,472,550,2001-04-19,579,0.44,Shipping,0.0001078373538541116
550,Овощи,2012-04-18,Помидор,6425,551,2002-06-02,426,4.27,New,0.001467913132442091
551,Овощи,2028-05-02,Чеснок,1697,552,2008-04-06,189,2.44,New,0.00038771184214073595
552,Напитки,2022-09-02,Одинцовская,158,553,1996-05-13,888,2.69,Temporarily Unavailable,3.6098097264723794e-05
553,Мясо,2016-03-09,Кровянка,2085,554,2000-03-01,639,4.05,Shipping,0.00047635780251233616
554,Бакалея,2007-05-03,Ямайский перец горошком,1699,555,2002-03-04,975,4.97,Refunded,0.0003881687800807958
555,Напитки,2001-07-03,Рязанская,7717,556,1997-04-01,765,2.02,In Stock,0.0017630950417207186
556,Мясо,2021-02-10,Отбивная,5167,557,2002-04-05,481,3.53,Sold,0.0011804991681444801
557,Бакалея,2010-02-04,Растительное масло кукурузное,2958,558,2002-04-22,939,3.94,Out of Stock,0.0006758112133484367
558,Мясо,2018-10-02,Сырокопченая колбаса,7681,559,2012-10-09,36,0.45,Temporarily Unavailable,0.0017548701587996422
559,Фрукты,2024-01-02,Кокос,5093,560,2001-01-24,572,2.76,Refunded,0.0011635924643622678
560,Молочные продукты,2002-04-01,Кефир,8007,561,2001-06-05,571,0.16,Shipping,0.001829351043029389
561,Молочные продукты,2026-02-10,Брынза,4126,562,2016-08-18,137,0.79,Pending,0.0009426629703433569
562,Молочные продукты,2025-01-03,Пахта,7310,563,1997-02-10,32,2.6,Returned,0.0016701081709185504
563,Напитки,2024-04-09,Соевый напиток,5809,564,2018-04-01,658,3.02,Backorder,0.0013271762469036744
564,Товары для дома,2021-04-05,Пакеты для Нового года,2389,565,2018-05-09,496,3.48,In Stock,0.000545812369401425
565,Напитки,2024-08-03,Ленинградская,9016,566,2022-01-01,347,2.56,On Backorder,0.0020598762337895554
566,Овощи,2013-02-03,Эндивий,3122,567,1999-03-08,883,4.05,On Backorder,0.0007132801244333399
567,Бакалея,1999-03-01,Ванилин,7537,568,1993-05-01,1,4.2,Returned,0.001721970627115337
568,Товары для дома,2005-11-01,Пакеты для офиса,4891,569,1991-12-11,127,0.33,Available for Pickup,0.0011174417324162284
569,Напитки,2008-01-01,Компот из сухофруктов,8503,570,2007-08-12,425,1.62,Shipping,0.001942671652164218
570,Молочные продукты,2028-10-02,Верблюжье молоко,7098,571,2016-01-03,724,4.94,Cancelled,0.0016216727492722122
571,Бакалея,2016-02-03,Просо,4659,572,2000-01-02,785,2.03,On Backorder,0.0010644369313692922
572,Товары для дома,2019-01-01,Пакеты для уборки,228,573,1992-01-13,45,2.11,Backorder,5.209092516681662e-05
573,Овощи,2018-05-02,Морковь,9167,574,1995-01-06,155,3.97,Available for Pickup,0.0020943750482640697
574,Напитки,2028-01-07,Пушкинская,5184,575,2014-02-23,99,1.24,Refunded,0.0011843831406349885
575,Бакалея,2028-02-11,Зеленый перец молотый,4247,576,2012-05-02,829,4.0,Awaiting Payment,0.0009703077157169745
576,Овощи,2008-02-22,Батат,7809,577,1996-01-05,800,4.82,Returned,0.0017841141869634693
577,Мясо,2029-04-07,Хамон,9329,578,2021-05-04,230,3.32,Pending,0.0021313870214089135
578,Бакалея,2029-03-03,Пажитник сушеный,2548,579,1990-01-17,551,1.31,In Stock,0.0005821389356361787
579,Фрукты,2020-02-18,Гранат,159,580,1994-02-05,395,0.67,In Stock,3.6326566234753696e-05
580,Мясо,2015-02-04,Вяленое мясо,4600,581,2002-02-25,25,2.1,In Stock,0.0010509572621375282
581,Бакалея,2017-08-07,Киноа,5509,582,2007-04-02,432,4.46,Out of Stock,0.001258635555894705
582,Фрукты,2029-05-05,Черешня,4261,583,2011-04-04,767,0.18,On Backorder,0.000973506281297393
583,Бакалея,2023-01-03,Повидло,5129,584,2017-02-10,789,4.59,Backorder,0.001171817347283344
584,Бакалея,2027-10-05,Мелисса сушеная,1172,585,2016-03-08,531,2.83,Delivered,0.0002677656328750398
585,Мясо,2028-04-02,Гуляш,1706,586,2020-06-08,956,2.28,In Stock,0.00038976806287100503
586,Напитки,2018-01-08,Кокосовая вода,1077,587,1992-01-09,61,1.1,Out of Stock,0.00024606108072219954
587,Товары для дома,2028-02-03,Пакеты для косметики,244,588,1996-02-09,849,1.22,Available for Pickup,5.574642868729498e-05
588,Мясо,2026-01-02,Карбонад,5168,589,2020-03-01,153,3.64,Returned,0.00118072763711451
589,Бакалея,2011-01-01,Каша из дробленной овсянки,2799,590,2008-02-02,562,0.56,Awaiting Review,0.000639484647113683
590,Бакалея,2016-01-04,Каша из дробленной поленты,9410,591,2003-01-25,511,4.7,Temporarily Unavailable,0.002149893007981335
591,Мясо,2024-01-10,Пепперони,2001,592,2009-04-23,986,0.71,Backorder,0.0004571664090298248
592,Бакалея,2029-01-11,Мука ржаная,5647,593,2020-10-04,546,3.37,Returned,0.0012901642737588308
593,Бакалея,2018-02-11,Каша из дробленной кукурузной крупы,6701,594,2009-02-03,625,2.29,Refunded,0.0015309705681703428
594,Товары для дома,2002-07-06,Гель для душа,9606,595,1990-02-08,862,4.18,On Backorder,0.0021946729261071948
595,Молочные продукты,2001-01-12,Пармезан,2585,596,1993-03-01,956,1.66,Available for Pickup,0.0005905922875272849
596,Товары для дома,2013-04-07,Пакеты для семинара,415,597,1997-08-02,133,0.95,New,9.481462256240745e-05
597,Бакалея,2009-10-01,Каша из поленты,7230,598,1992-07-08,590,0.54,Refunded,0.0016518306533161585
598,Мясо,2019-01-13,Карпаччо,1377,599,2012-05-06,58,0.7,Pending,0.0003146017717311688
599,Товары для дома,2022-02-25,Мягкие игрушки,6663,600,2012-09-10,801,2.5,Sold,0.0015222887473092066
600,Молочные продукты,2026-05-01,Фета,3806,601,2008-06-02,767,1.08,Pending,0.0008695528999337897
601,Овощи,2021-08-19,Щавель,2850,602,1999-08-07,559,4.38,Cancelled,0.0006511365645852078
602,Бакалея,2014-04-04,Каша из полбы,2013,603,2000-10-08,810,3.24,Out of Stock,0.0004599080366701836
603,Мясо,2019-01-10,Зельц,6016,604,2014-01-05,728,2.69,Awaiting Payment,0.001374469323699863
604,Овощи,2030-06-01,Чеснок,8508,605,2021-03-02,342,3.43,Backorder,0.0019438139970143675
605,Товары для дома,2021-02-02,Парфюм,3400,606,2002-04-04,888,3.25,Shipping,0.0007767944981016513
606,Фрукты,2024-04-07,Папайя,5405,607,2020-08-01,156,0.4,Refunded,0.0012348747830115956
607,Овощи,2015-02-10,Окра,1002,608,2003-01-07,87,2.07,On Backorder,0.00022892590796995724
608,Фрукты,2000-01-27,Слива,2323,609,1999-01-01,336,4.25,Returned,0.0005307334173794518
609,Овощи,2016-04-01,Брюква,3241,610,2002-06-11,76,3.75,Awaiting Payment,0.0007404679318668976
610,Мясо,2029-01-02,Пирожки с мясом,3398,611,2008-05-02,132,3.37,Awaiting Payment,0.0007763375601615916
611,Овощи,2010-01-04,Горох,6858,612,1993-05-02,320,3.2,Shipping,0.0015668401964650366
612,Напитки,2017-09-02,Пензенская,8355,613,2005-03-14,675,4.47,Shipping,0.0019088582445997932
613,Мясо,2028-07-03,Пельмени,8289,614,2020-01-03,660,4.52,Backorder,0.00189377929257782
614,Напитки,2012-02-08,Кисель ягодный,4342,615,1998-01-19,155,3.82,Temporarily Unavailable,0.0009920122678698147
615,Напитки,2028-01-01,Чай зеленый,9646,616,2021-10-13,871,1.84,New,0.002203811684908391
616,Овощи,2013-02-19,Картофель,1621,617,2006-04-08,266,4.92,Shipping,0.0003703482004184638
617,Молочные продукты,2030-02-02,Творог,940,618,2021-02-05,180,2.58,In Stock,0.00021476083182810361
618,Бакалея,2022-08-11,Тыквенные семечки,9833,619,2002-02-22,284,5.0,Pending,0.0022465353823039815
619,Товары для дома,2007-12-21,Пакеты для Дня Земли,8822,620,1999-07-03,956,3.17,Temporarily Unavailable,0.0020155532536037554
620,Бакалея,2024-01-26,Белый перец молотый,7402,621,2022-05-10,264,1.24,Temporarily Unavailable,0.0016911273161613009
621,Мясо,2026-02-07,Курица,2508,622,2015-05-13,712,1.92,Backorder,0.0005730001768349828
622,Напитки,2026-01-12,Сбитень медовый,3958,623,2006-03-15,891,4.93,Awaiting Payment,0.0009042801833783341
623,Молочные продукты,2015-04-04,Йогурт,2774,624,1991-01-15,768,0.05,Backorder,0.0006337729228629355
624,Бакалея,2006-05-25,Имбирь молотый,7318,625,2005-08-02,293,2.77,Backorder,0.0016719359226787895
625,Бакалея,2019-03-03,Кориандр молотый,7182,626,2007-08-02,32,3.29,Pending,0.0016408641427547235
626,Мясо,2024-07-12,Косулятина,4295,627,2018-01-04,153,1.25,Cancelled,0.0009812742262784095
627,Молочные продукты,2024-01-01,Кефир,2202,628,2016-07-03,748,4.62,Awaiting Review,0.0005030886720058342
628,Фрукты,2024-05-07,Ананас,1199,629,1992-01-01,807,0.88,In Stock,0.00027393429506584706
629,Напитки,2029-01-18,Источник Троицкий,2353,630,1992-01-03,613,2.97,In Stock,0.0005375874864803487
630,Напитки,2003-03-14,Смоленская,5279,631,1993-01-05,621,0.41,Cancelled,0.0012060876927878286
631,Напитки,2023-07-15,Курортная,9684,632,2022-09-14,176,0.55,In Stock,0.002212493505769527
632,Бакалея,2025-05-23,Какао-порошок,5709,633,2021-09-06,935,1.95,In Stock,0.0013043293499006845
633,Мясо,2005-05-04,Зельц,2841,634,1996-06-06,838,1.23,Delivered,0.0006490803438549387
634,Напитки,2020-01-08,Кумыс,7653,635,1992-07-03,624,3.67,Backorder,0.0017484730276388053
635,Овощи,2009-01-23,Окра,3007,636,2007-12-09,730,0.59,Backorder,0.0006870061928799016
636,Овощи,2027-03-02,Лук-порей,4279,637,2017-01-07,104,3.97,In Stock,0.0009776187227579312
637,Овощи,2028-04-03,Шпинат,2120,638,2022-03-08,836,1.49,Sold,0.0004843542164633826
638,Бакалея,2000-02-01,"Специи (перец, куркума, зира)",1045,639,1999-03-07,758,0.84,Awaiting Review,0.00023875007368124283
639,Напитки,2005-06-03,Березовский родник,2675,640,2001-05-05,378,4.25,Shipping,0.0006111544948299756
640,Товары для дома,2022-03-09,Пакеты для Хэллоуина,4558,641,2000-02-19,116,2.53,Cancelled,0.0010413615653962725
641,Товары для дома,2016-02-13,Пакеты для игрушек,1847,642,2006-11-08,339,2.83,Out of Stock,0.0004219821876452206
642,Бакалея,2002-01-13,Каша из дробленного риса,9862,643,1995-04-01,285,3.85,Available for Pickup,0.0022531609824348485
643,Мясо,2030-03-04,Кострец,5045,644,2022-03-05,149,2.72,Sold,0.0011526259538008326
644,Фрукты,1998-05-04,Рамбутан,7232,645,1997-01-11,383,3.75,Cancelled,0.0016522875912562184
645,Фрукты,2029-12-03,Грейпфрут,3537,646,1998-04-19,27,2.77,Awaiting Review,0.0008080947469957472
646,Овощи,2021-01-14,Помидор,1187,647,1997-04-15,702,4.08,Delivered,0.00027119266742548826
647,Товары для дома,2026-06-14,Пакеты для животных,1841,648,2017-01-16,246,0.78,Returned,0.0004206113738250412
648,Молочные продукты,2028-02-01,Масло сливочное,4037,649,2012-02-08,9,4.3,Sold,0.000922329232010696
649,Напитки,2030-01-03,Великолукская,9323,650,1998-02-11,18,3.36,Pending,0.0021300162075887337
650,Молочные продукты,1999-02-04,Сыр,9732,651,1992-08-14,1,3.4,Temporarily Unavailable,0.0022234600163309618
651,Фрукты,2028-01-03,Лимон,9109,652,2001-08-03,725,3.39,Awaiting Payment,0.0020811238480023357
652,Напитки,2023-02-01,Коктебельская,1407,653,2019-01-06,79,0.93,Returned,0.0003214558408320657
653,Овощи,2025-02-22,Картофель,6059,654,2005-03-12,62,4.53,Sold,0.0013842934894111487
654,Напитки,2012-07-24,Лимонад классический,7908,655,1990-07-02,254,4.92,Awaiting Payment,0.0018067326149964291
655,Бакалея,2022-07-02,Каша из амаранта,3543,656,2011-01-06,947,3.95,Pending,0.0008094655608159267
656,Напитки,2013-01-07,Алтайская россыпь,3843,657,1999-02-10,836,2.82,Out of Stock,0.0008780062518248959
657,Бакалея,2014-12-01,Каша из кукурузной муки,8872,658,2011-01-02,892,3.67,Sold,0.00202697670210525
658,Молочные продукты,2023-09-17,Творог,6193,659,2007-03-03,304,4.35,In Stock,0.001414908331395155
659,Бакалея,2021-02-01,Гречка,7442,660,1994-04-04,506,2.94,Shipping,0.001700266074962497
660,Напитки,2026-01-01,Perrier,6064,661,2009-02-12,89,4.26,New,0.001385435834261298
661,Молочные продукты,2022-02-12,Курт,5138,662,1999-02-04,240,0.42,Sold,0.0011738735680136131
662,Овощи,2023-07-02,Укроп,2421,663,2014-04-17,827,2.46,Shipping,0.0005531233764423817
663,Фрукты,2020-04-04,Хурма,229,664,2013-06-04,290,2.74,Pending,5.231939413684652e-05
664,Молочные продукты,2011-07-13,Молоко,8330,665,2004-01-03,239,3.82,New,0.0019031465203490458
665,Напитки,2016-02-18,Керчь,5226,666,2014-01-09,933,2.69,Shipping,0.0011939788373762441
666,Бакалея,2023-02-10,Чай зеленый,3701,667,2000-02-06,895,0.43,Sold,0.0008455636580806504
667,Овощи,2028-02-04,Брюква,9937,668,1991-05-24,597,2.04,Out of Stock,0.002270296155187091
668,Мясо,2025-02-05,Сухое мясо,2965,669,2007-08-02,848,1.06,Sold,0.0006774104961386459
669,Напитки,2000-04-01,Химкинская,4821,670,1999-01-07,338,3.65,On Backorder,0.0011014489045141356
670,Молочные продукты,2021-05-10,Айран,7316,671,1999-06-10,69,3.25,Delivered,0.0016714789847387297
671,Товары для дома,2005-04-02,Пакеты для офиса,9639,672,1992-02-01,88,4.58,Awaiting Review,0.0022022124021181815
672,Фрукты,2015-09-02,Дыня,4278,673,2011-05-03,906,3.7,On Backorder,0.0009773902537879014
673,Напитки,2018-01-01,Кефир,5699,674,2001-01-03,704,3.74,Out of Stock,0.0013020446602003855
674,Бакалея,2030-04-17,Консервированные бобы,3261,675,2010-02-05,598,4.62,Cancelled,0.0007450373112674955
675,Товары для дома,2023-08-06,Пакеты для Дня защиты детей,3246,676,2004-02-01,904,0.49,New,0.0007416102767170471
676,Товары для дома,2023-12-01,Парфюм,2503,677,2009-03-04,101,2.04,Refunded,0.0005718578319848333
677,Мясо,2024-01-03,Засоленное мясо,5159,678,1998-03-09,342,0.91,Sold,0.001178671416384241
678,Товары для дома,2024-04-16,Пакеты для театра,3962,679,2002-05-02,44,3.66,In Stock,0.0009051940592584537
679,Овощи,2016-03-08,Ямс,4764,680,1998-06-06,223,2.92,Pending,0.0010884261732224314
680,Овощи,2030-09-10,Лук-порей,8694,681,2021-01-26,824,0.05,Awaiting Payment,0.0019863092254399283
681,Товары для дома,2005-02-03,Подставки под горячие блюда,9645,682,1995-04-03,56,5.01,Pending,0.002203583215938361
682,Мясо,2007-01-13,Стейк,1747,683,1991-01-07,313,3.21,Available for Pickup,0.00039913529064223083
683,Молочные продукты,2020-05-05,Российский сыр,336,684,1999-04-08,630,0.06,In Stock,7.676557393004554e-05
684,Товары для дома,2009-01-07,Ложки столовые,1841,685,1993-02-10,913,3.87,Awaiting Payment,0.0004206113738250412
685,Мясо,2021-01-11,Блины с мясом,2973,686,2014-06-01,66,4.24,Delivered,0.0006792382478988851
686,Бакалея,2015-01-08,Каша из дробленной овсянки,7705,687,1997-06-03,317,1.02,Awaiting Payment,0.00176035341408036
687,Мясо,2005-01-21,Фахитас с мясом,7242,688,1991-07-07,536,3.06,Awaiting Payment,0.0016545722809565174
688,Молочные продукты,2022-08-03,Сыр,6223,689,2013-04-18,98,1.87,Delivered,0.001421762400496052
689,Товары для дома,2019-03-15,Кастрюли,4178,690,2007-03-07,232,3.84,Out of Stock,0.0009545433567849116
690,Мясо,2003-06-24,Бекон,5317,691,1991-02-13,420,1.97,Shipping,0.0012147695136489648
691,Мясо,2010-06-25,Утиная печень,5374,692,1991-04-01,653,2.18,On Backorder,0.001227792244940669
692,Бакалея,2016-03-04,Бадьян,2950,693,2015-01-03,568,3.58,Shipping,0.0006739834615881975
693,Мясо,2029-03-01,Куриные субпродукты,7961,694,2015-07-05,558,3.79,Cancelled,0.0018188414704080136
694,Мясо,2022-04-03,Донер-кебаб,4637,695,1996-09-01,122,0.47,In Stock,0.0010594106140286346
695,Фрукты,2021-09-16,Персик,3134,696,2018-08-13,536,4.71,On Backorder,0.0007160217520736986
696,Бакалея,2025-11-13,Тмин молотый,421,697,1993-06-05,324,3.55,In Stock,9.618543638258683e-05
697,Мясо,2030-03-17,Кострец,7864,698,2017-01-17,716,2.34,Available for Pickup,0.0017966799803151136
698,Товары для дома,2001-06-16,Дезодорант,9502,699,1994-01-13,199,3.06,Delivered,0.0021709121532240854
699,Бакалея,2001-02-01,Сельдерей сушеный,4115,700,1997-02-12,51,2.88,Temporarily Unavailable,0.000940149811673028
700,Молочные продукты,2028-10-01,Фета,6979,701,1990-04-15,177,3.41,In Stock,0.0015944849418386543
701,Фрукты,2026-01-26,Карамбола,8587,702,1999-04-10,995,1.13,Awaiting Payment,0.0019618630456467293
702,Товары для дома,1997-06-04,Матрасы,3676,703,1995-05-14,658,3.94,Delivered,0.000839851933829903
703,Мясо,2011-04-06,Фахитас с мясом,7776,704,1998-08-04,659,2.91,Refunded,0.0017765747109524826
704,Товары для дома,2009-09-14,Половники,9093,705,2007-09-04,89,0.46,Pending,0.0020774683444818574
705,Мясо,2026-01-02,Шницель,8223,706,2021-05-02,114,1.93,Temporarily Unavailable,0.0018787003405558466
706,Молочные продукты,2013-01-17,Творог,7607,707,1997-10-12,308,0.53,Sold,0.00173796345501743
707,Бакалея,1997-01-10,Каша из дробленной поленты,9022,708,1990-04-05,896,4.71,New,0.0020612470476097347
708,Овощи,2013-01-01,Эндивий,1494,709,1995-06-09,811,2.52,Temporarily Unavailable,0.0003413326412246668
709,Бакалея,2024-08-02,Каша из дробленого кускуса,6801,710,2009-01-01,639,2.64,Awaiting Review,0.0015538174651733325
710,Бакалея,2027-06-14,Мука ржаная,1576,711,2021-02-04,349,3.52,Sold,0.0003600670967671184
711,Мясо,2026-01-06,Паштет,1663,712,2001-06-01,505,1.42,In Stock,0.00037994389715971944
712,Фрукты,2009-05-19,Манго,3152,713,2007-02-08,240,2.3,Pending,0.0007201341935342368
713,Фрукты,2022-02-13,Помело,1622,714,1995-05-05,702,3.43,Returned,0.00037057666938849365
714,Бакалея,2006-01-07,Анис звездчатый,4153,715,1994-08-05,389,1.37,On Backorder,0.0009488316325341641
715,Фрукты,2022-12-02,Папайя,2039,716,2014-02-15,461,2.53,Shipping,0.0004658482298909609
716,Мясо,2004-05-09,Роллы с мясом,3816,717,1993-05-17,289,3.68,Returned,0.0008718375896340887
717,Молочные продукты,2027-02-02,Масло сливочное,8850,718,1995-01-13,979,2.04,Awaiting Review,0.0020219503847645924
718,Молочные продукты,2017-02-11,Эмменталь,6864,719,2016-05-01,660,2.7,Awaiting Review,0.0015682110102852162
719,Фрукты,2025-04-06,Банан,9729,720,1991-01-03,13,0.74,Awaiting Payment,0.002222774609420872
720,Мясо,2030-06-08,Кровяная колбаса,8620,721,2022-01-01,5,4.03,In Stock,0.001969402521657716
721,Товары для дома,2011-01-12,Блендер,3854,722,2005-10-01,20,0.52,New,0.0008805194104952248
722,Фрукты,2024-01-01,Смородина,5328,723,2002-01-01,826,0.93,Temporarily Unavailable,0.0012172826723192936
723,Товары для дома,2001-10-01,Пакеты для лекарств,4122,724,1994-04-17,331,2.76,Awaiting Payment,0.0009417490944632373
724,Напитки,2004-06-03,Азовская,8060,725,2000-03-17,878,1.65,Out of Stock,0.0018414598984409735
725,Напитки,2010-01-03,Сок томатный,6576,726,2002-04-06,619,2.37,Returned,0.0015024119469166056
726,Бакалея,2028-05-11,Черный перец горошком,3665,727,2021-06-01,552,2.16,Cancelled,0.0008373387751595742
727,Молочные продукты,2028-01-02,Молоко,7704,728,2012-01-22,152,3.15,Available for Pickup,0.00176012494511033
728,Товары для дома,2011-04-01,Пакет для хранения продуктов,4632,729,2007-01-24,142,1.91,Refunded,0.001058268269178485
729,Овощи,2029-04-04,Кольраби,1616,730,2017-03-10,965,0.97,Sold,0.0003692058555683143
730,Мясо,2004-04-06,Буженина,5139,731,1993-03-23,73,3.58,Refunded,0.001174102036983643
731,Бакалея,2023-02-20,Каша из дробленной ячневой крупы,6008,732,2002-04-11,98,1.52,Temporarily Unavailable,0.0013726415719396239
732,Товары для дома,2014-05-15,Пакеты для Хэллоуина,9614,733,1997-01-13,363,1.11,Shipping,0.002196500677867434
733,Мясо,2023-10-02,Лардон,932,734,2006-02-03,797,4.03,Shipping,0.00021293308006786442
734,Молочные продукты,2001-05-03,Голландский сыр,8783,735,1998-03-03,455,2.49,Awaiting Review,0.0020066429637725894
735,Бакалея,2018-09-09,Душистый перец горошком,7184,736,1997-07-07,556,1.2,In Stock,0.0016413210806947834
736,Товары для дома,2014-01-06,Одеяла,4943,737,2010-10-13,941,1.12,Returned,0.001129322118857783
737,Напитки,2017-06-13,Липецкий бювет,168,738,1995-05-06,85,0.88,Awaiting Payment,3.838278696502277e-05
738,Мясо,2006-01-15,Прошутто,5078,739,1993-10-03,532,2.13,Awaiting Review,0.0011601654298118193
739,Фрукты,2009-01-09,Манго,6329,740,1993-02-03,355,4.08,Available for Pickup,0.001445980111319221
740,Овощи,2003-01-05,Картофель,7218,741,1990-01-06,499,4.45,Available for Pickup,0.0016490890256757999
741,Товары для дома,2030-10-12,Пакеты для Всемирного дня музыки,6885,742,2011-04-06,88,2.3,Awaiting Review,0.001573008858655844
742,Молочные продукты,2025-10-06,Курт,749,743,2010-03-19,461,0.84,Out of Stock,0.0001711232585523932
743,Фрукты,2027-04-18,Черника,5695,744,2012-01-01,98,0.12,Refunded,0.001301130784320266
744,Фрукты,2026-11-13,Киви,4959,745,2003-05-17,945,0.94,Shipping,0.0011329776223782614
745,Напитки,2011-02-19,Курортная,6636,746,2008-07-01,555,2.79,Pending,0.0015161200851183994
746,Овощи,1998-01-15,Кольраби,5439,747,1996-02-15,814,1.05,Delivered,0.0012426427279926121
747,Мясо,2028-01-15,Варено-копченая колбаса,4117,748,2001-01-08,509,0.24,Sold,0.0009406067496130878
748,Молочные продукты,2018-05-05,Топлёное молоко,7381,749,2013-01-04,947,0.39,In Stock,0.001686329467790673
749,Бакалея,2030-06-04,Пастила,7457,750,2019-01-07,886,3.46,Sold,0.0017036931095129452
